stimulusValue,stimulusValueType,stimulusType,correctResponse,keyCode,response
inspected,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
some,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
shirts,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
at,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
department,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
store.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Was Dale rushing?,text,Question-GP-no_comma-factual,Yes,ArrowLeft,Yes
When,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
Teri,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
stopped,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
Harry,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
donated,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
a,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
pound,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
to,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
charity,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
outside,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
supermarket.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Was Harry stopped?,text,Question-GP-comma-factual,No,ArrowRight,No
When,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Bill,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
asked,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Lindsay,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
audited,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
company's,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
books,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
to,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
confirm,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
they,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
were,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
right.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Was Lindsay asked something?,text,Question-GP-comma-good_enough,No,ArrowRight,No
Once,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Will,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
tired,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
his,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
opponent,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
grasped,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
for,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
his,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
right,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
leg,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
and,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
pinned,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
him.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Did Will get tired?,text,Question-GP-no_comma-good_enough,Yes,ArrowLeft,Yes
While,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Samantha,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
helped,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Darren,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
dusted,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
rooms,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
in,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
preparation,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
for,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
tour.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Did Darren dust?,text,Question-GP-no_comma-factual,Yes,ArrowLeft,Yes
